Verb,,aufgeben,,predati se / odustati,/
Adjektiv,,aufgeregt,,uzbuđen,/
Verb,,aufhebeln,ich heble auf / ich hebelte auf / ich habe aufgehebelt,otvoriti polugom,/
Verb,,aufhören,ich höre auf / ich hörte auf / ich habe aufgehört,prestati/stati/minuti,/
Verb,,aufkeuchen,ich keuche auf / ich keuchte auf / ich habe aufgekeucht,zajecati,/
Verb,,aufklaren,ich klare auf / ich klarte auf / ich bin aufgeklart,bistriti (se)/vedriti (se),/
Verb,,aufladen,,napuniti/natovariti,/
Adjektiv,,aufmerksam,,pažljiv,/
Substantiv,die,Aufmerksamkeit,<Aufmerksamkeit; -en>,pažnja/pozornost,/
Verb,,aufnehmen,ich nehme auf / ich nahm auf / ich habe aufgenommen,uključiti/uvrstiti/upisati/zaprimiti/snimiti,/
Verb,,aufpassen,`,brinuti o nekome / paziti,/
Verb,,aufräumen,ich räume auf / ich räumte auf / ich habe aufgeräumt,pospremiti/raspremiti/srediti,/
Verb,,aufrechterhalten ,,održati / održavati,/
Substantiv,die,Aufregung,<Aufregung; -en>,uzbuđenje,/
Verb,,aufreißen,ich reiße auf / ich riss auf / ich habe aufgerissen,razderati/rasparati/rastrgnuti/otvoriti/načeti/razjapiti/izbečiti,/
Verb,,aufschluchzen,ich schluchze auf / ich schluchzte auf / ich habe aufgeschluchzt,zajecati/naglo zaplakati,/
Verb,,aufschreiben,ich schreibe auf / ich schrieb auf / ich habe aufgeschrieben,zapisati/napisati,/
Verb,,aufstehen,ich stehe auf / ich stand auf / ich bin aufgestanden,ustati,/
Verb,,auftauchen,ich tauche auf / ich tauchte auf / ich bin aufgetaucht,izroniti/promoliti se/pojaviti se,/
Substantiv,der,Auftrag,<-(e)s; Aufträge>,nalog/narudžba,/
Verb,,aufwachen,,probuditi,/
Verb,,aufziehen,ich ziehe auf / ich zog auf / ich habe aufgezogen,spremati se /naviti/nategnuti/odgojiti/zafrkavati/razvezati/ izvući,/
Substantiv,das,Auge,<-s; -n>,oko,/
Substantiv,der,Augenblick,<-(e)s; -e>,treptaj oka /trenutak,/
Substantiv,die,Augenbraue,<Augenbraue; -n>,obrva,/
Substantiv,die,Augenhöhe,<Höhe; -n>,visina očiju,/
Substantiv,der,August,<-(e)s; August; -e>,kolovoz,/
Präposition,,aus,Dativ,iz,/
Substantiv,die,Ausbildung,<Ausbildung; -en>,usavršavanje / trening / izobrazba / škola / obrazovanje,/
Substantiv,die,Ausfahrt,<Ausfahrt; -en>,izlaz (vozački),/
Substantiv,der,Ausflug,<-(e)s; Ausflüge>,izlet,/
Adjektiv,,ausführlich,,iscrpan/podroban,/
Substantiv,die,Ausführung,<Ausführung; -en>,izvedba / izvođenje,/
Substantiv,der,Ausgang,<-(e)s; Ausgänge>,izlaz(pješački)/ishod/svršetak ,/
Verb,,ausgeben,,potrošiti,/
Verb,,ausgeliehen,,posuditi,/
,,ausgerechnet,,baš / upravo od svih,/
Adjektiv,,ausgeruht,,odmoran,/
Adjektiv,,ausgezeichnet ,,izvrstan / odličan,/
Substantiv,der,Ausgleich,<-(e)s; -e>,izravnanje / poravanje / izjednačenje / kompenzacija,/
Substantiv,die,Auskunft,<Auskunft; Auskünfte>,informacija/obavještenje/izvještaj,/
Substantiv,das,Ausland,<-(e)s>,inozemstvo,/
Substantiv,der,Ausländer,<-s; Ausländer>,stranac,/
Substantiv,die,Auslanderin,<Ausländerin; -innen>,strankinja,/
,,ausmachen,,ugasiti/iznositi/dogovoriti,/
Substantiv,das,Ausmaß,<-es; -e>,razmjer / mjera,/
Substantiv,die,Ausnahme,<Ausnahme; -n>,izuzetak/iznimka/izuzetak,/
Substantiv,der,Ausnahmezustand,<-(e)s; Ausnahmezustände>,izvanredno stanje,/
Substantiv,der,Auspuff,<-(e)s; -e>,auspuh,/
,,ausreichend ,,dovoljan / dostatan,/
,,aussagekräftig,,smisleno / suvislo / ekspresivno / izražajno,/
Adverb,,ausschließlich,,isključivo,/
Substantiv,die,Ausschreibung,<Ausschreibung; -en>,oglas / raspisivanje,/
Verb,,aussehen,,izgledati,/
,,außerdem ,,osim toga / uz to / dodatno,/
Präposition,,außerhalb,Genitiv,izvan,/
Substantiv,die,Aussicht,<Aussicht; -en>,izgled/pogled/vidik,/
Verb,,ausspucken,ich spucke aus / ich spuckte aus / ich habe ausgespuckt,ispljunuti,/
Substantiv,die,Ausstattung,<Ausstattung; -en>,oprema,/
Substantiv,der,Austausch,<-(e)s>,izmjena / razmjena,/
Substantiv,die,Auster,<Auster; -n>,kamenica/ostriga,/
Substantiv,der,Auswahl,<Auswahl>,izbor/odabir/selekcija,/
Verb,,auswählen ,,izabrati / odabrati,/
Substantiv,der,Ausweg,,izlaz (pješački),/
Verb,,ausweichen,ich weiche aus / ich wich aus / ich bin ausgewichen,izbjeći,/
Substantiv,der,Ausweis,<-es; -e>,iskaznica/legitimacija,/
Substantiv,die,Auszahlung,<Auszahlung; -en>,isplata,/
Substantiv,die,Auszahlungsanordnung, <Auszahlungsanordnung; -en>,nalog za isplatu,/
Verb,,ausziehen,,skinuti,/
Substantiv,das,Auto,<-s; -s>,automobil,/
Substantiv,die,Autobahn,<Autobahn; -en>,autocesta,/
Substantiv,die,Autofähre,<Autofähre; -n>,automobilski trajekt/skela,/
Substantiv,die,Automatisierung,<Automatisierung; kein pl>,automatizacija,/
Substantiv,der,Bach,<-(e)s; Bäche>,potok,/
Substantiv,das,Bachbett,<-(e)s; -en>,korito potoka,/
Verb,,backen,,peći,/
Substantiv,der,Bäcker,<-s; Bäcker>,pekar,/
Substantiv,die,Bäckerei,<Bäckerei; -en>,pekara,/
Substantiv,die,Bäckerin,<Bäckerin; -innen>,pekarica,/
Substantiv,das,Bad,<-(e)s; Bäder>,kupaonica/kupka/kupanje/toplice,/
Substantiv,der,Badeanzug,<-(e)s; Badeanzüge>,kupaći kostim,/
Substantiv,die,Badehose,<Badehose; -n>,kupaće gaće,/
Verb,,baden ,,kupati se,/
Substantiv,das,Badetuch,<-(e)s; Badetücher>,ručnik za kupanje,/
Substantiv,die,Badewanne,<Badewanne; -n>,kada,/
Substantiv,der,Bahnhof,<-(e)s; Bahnhöfe>,željeznička stanica/kolodvor,/
Substantiv,der,Bahnsteig,<-(e)s; -e>,peron,/
,,bald,,uskoro,/
Substantiv,der,Balkon,<-s; -s/-e>,balkon,/
Substantiv,der,Ball,<-(e)s; Bälle>,lopta,/
Substantiv,das,Ballet,<-(e)s; -e>,balet,/
Substantiv,die,Banane,<Banane; -n>,banana,/
Substantiv,das,Band,<-(e)s; Bänder>,vrpca/traka/spojnica,/
Substantiv,die,Bank,<Bank; -en>,banka,/
Substantiv,der,Bankier,<Bankiers; Bankiers>,bankar,/
Substantiv,der,Bär,<-en; -en>,medvjed,/
Substantiv,das,Bargeld,<-(e)s>,gotovina,/
Verb,,basieren ,,bazirati,/
Substantiv,die,Basis,<Basis; Basen>,baza / temelj,/
Substantiv,die,Batterie,<Batterie; -n>,baterija,/
Substantiv,der,Bau,<-(e)s; -ten>,gradnja / proizvodnja,/
Substantiv,der,Bauch,<-(e)s; Bäuche>,stomak/trbuh,/
Substantiv,die,Bauchschmerzen,pl,bol u stomaku,/
Verb,,bauen,ich baue / ich baute / ich habe gebaut,graditi / praviti,/
Substantiv,der,Bauer,<-n; -n>,seljak,/
Substantiv,die,Baufachmesse,<Messe; -n>,građevinski sajam,/
Substantiv,der,Baum,<-(e)s; Bäume>,stablo/drvo,/
Substantiv,das,Baumaterial,<-s; -lien>,građevinski materijal,/
Substantiv,der,Baumbestand,<-(e)s; Bestände>,skupina drveća,/
Substantiv,die,Baumkrone,<Baumkrone; -n>,krošnja drveta,/
Substantiv,der,Baumstamm,<-(e)s; Baumstämme>,deblo drveta,/
Verb,,beabsichtigen,ich beabsichtige / ich beabsichtigte / ich habe beabsichtigt,namjeravati,/
Verb,,beachten ,,obratiti pozornost na,/
Substantiv,der,Beamte,<-n; -n>,državni službenik/činovnik,/
Substantiv,die,Beamtin,<Beamtin; -nen>,državna službenica/činovnica,/
Verb,,beantragen,,potražiti / zatražiti / predložiti,/
Verb,,bearbeiten,ich bearbeite / ich bearbeitete / ich habe bearbeitet,obraditi/urediti,/
Verb,,bedeuten ,,značiti,/
Substantiv,die,Bedingung,<Bedingung; -en>,uvijet,/
Substantiv,die,Bedrohung,<Bedrohung; -en>,prijetnja/ugroza,/
Verb,,beeinträchtigen ,,smetati / ometati / krnjiti / okrnjiti,/
Verb,,beenden,,završiti,/
Verb,,befehlen,ich befehle / ich befahl / ich habe befohlen,narediti/zapovijediti,/
Substantiv,die,Befreiung,<Befreiung>,oslobođenje od nečega / izuzeće,/
Verb,,begegnen,ich begegne / ich begegnete / ich bin begegnet,sresti/susresti/naići,/
Substantiv,der,Beginn,<-(e)s>,početak,/
Verb,,beginnen ,,početi,/
